[[ 0.49619531  5.43856665]
 [ 4.98125831  1.42308371]
 [ 4.25292273  6.22334861]
 [ 0.63598238  5.79943018]
 [ 5.11768045  1.63895499]
 [ 2.27061142  4.94366457]
 [ 5.31421858  0.32397468]
 [ 3.13421577  3.06046578]
 [ 2.79456731  4.70143175]
 [ 5.03930318  2.56288204]
 [ 1.90330444 -1.37642675]
 [ 1.44971273  0.13756978]
 [ 2.1384847   4.32031417]
 [ 1.60020008  4.49004802]
 [ 1.68629978  0.97949109]
 [ 5.57947795  2.60963299]
 [ 3.07147176  1.30948753]
 [-0.34699239 -0.14830003]
 [ 4.08869525  0.8519938 ]
 [ 3.45649515  2.02121826]
 [ 0.80082642 -0.8807032 ]
 [ 1.67484536  6.36651988]
 [ 1.9897673  -0.2776354 ]
 [ 7.29706395  1.75051315]
 [ 4.94901065  2.81912179]
 [ 2.71307588  0.95857139]
 [ 1.21938876 -0.4319116 ]
 [ 5.86378599  1.16687788]
 [ 2.2399938   5.03588378]
 [ 3.52287956  4.3762369 ]
 [ 2.42093059  4.00863521]
 [ 4.65677348  3.45545497]
 [ 5.31934479  2.97764315]
 [ 2.98362698 -0.70774484]
 [ 1.5779399   5.75395181]
 [ 1.518647    4.67508616]
 [ 1.49457827  4.65068332]
 [ 2.1866674   0.40561712]
 [ 6.10875881 -0.88324941]
 [ 0.2979236   5.48789437]
 [ 3.20862786  4.75462345]
 [ 4.6294652   1.72496711]
 [ 3.28685882  4.02003907]
 [ 0.0511601  -2.09995696]
 [ 1.84582788  2.89923932]
 [ 2.05742461 -0.1928194 ]
 [ 2.19101733  5.70255701]
 [ 2.37167273  4.90409357]
 [-0.89201671  1.38858748]
 [ 4.56843206  3.08531786]
 [ 1.17262028  0.24739389]
 [ 5.05459576  2.77230679]
 [-0.06151653 -0.47785219]
 [ 0.36055978 -0.47195812]
 [ 0.61608577 -0.92650265]
 [-0.70480484 -0.27467827]
 [ 2.34761318  3.11788719]
 [ 5.830545    2.51356888]
 [ 4.02079349  1.20431878]
 [ 0.92661421  0.17668672]
 [ 0.60568946  6.34474868]
 [ 0.80365918  6.01623081]
 [ 4.25917735  1.82577954]
 [-0.25535514 -2.32606988]
 [ 5.40560205  1.43551419]
 [ 1.77714657  0.55807359]
 [ 0.8420106   3.62385623]
 [ 1.1845808   5.47605983]
 [ 5.62750554  2.47930505]
 [ 2.02350825  4.73048509]
 [ 2.15617162  4.68311287]
 [ 2.26763011 -1.15309049]
 [ 4.80692646  1.08383791]
 [ 1.07433789  2.98138829]
 [ 1.25515834 -0.99758594]
 [ 3.78232451  0.94833375]
 [ 3.06920765  5.26255324]
 [ 0.58880871  4.14723859]
 [ 5.27588333  2.98436259]
 [ 4.94890479  3.63586517]
 [ 7.01690471  2.31504455]
 [ 5.52252716  1.91875117]
 [ 1.47552333 -0.44962287]
 [ 7.01207179  3.79818539]
 [ 2.99210195  4.94015637]
 [ 0.30011405 -0.23642456]
 [ 1.0109076   0.67306309]
 [ 2.47414133  6.65154558]
 [ 5.37053798  2.05163692]
 [ 1.57156259  3.1630045 ]
 [ 3.55384855  6.93244759]
 [ 2.10035228  0.77310204]
 [ 5.64902947  1.74418922]
 [ 0.30514453 -0.73980094]
 [ 2.53123742  1.3978547 ]
 [ 6.437181    3.30780948]
 [ 4.03435774  2.6405616 ]
 [ 1.69510926  0.93960481]
 [ 4.3042388   2.03386812]
 [ 2.76083698 -0.28433843]
 [ 3.81122848  6.22352209]
 [ 1.73040108  0.73813751]
 [ 5.44014495  3.41909771]
 [ 5.97512534  2.03403118]
 [ 1.15751918  1.38890155]
 [ 1.10063836  1.27877923]
 [ 2.72321943 -0.12114211]
 [ 0.70345755  6.17787116]
 [ 2.78217747  4.41145849]
 [ 1.86789205  4.58230917]
 [ 3.84864443  3.11307312]
 [ 1.79690957  4.92502668]
 [ 1.67971198 -0.56419253]
 [ 5.74040694  2.03603076]
